video_id,is_primary_language,language,title,description,keywords,caption_file,audio_track_file,audio_content_type
,no,en,"Translated(src=zh-CN, dest=en, text=Hello there, pronunciation=None, extra_data=""{'translat..."")","Translated(src=zh-CN, dest=en, text=Hello Tomorrow, pronunciation=None, extra_data=""{'translat..."")",,,,
,no,en,"Translated(src=zh-CN, dest=is, text=Halló þar, pronunciation=None, extra_data=""{'translat..."")","Translated(src=zh-CN, dest=is, text=Halló hvað heitirðu?, pronunciation=None, extra_data=""{'translat..."")",,,,
,no,en,"Translated(src=zh-CN, dest=ig, text=Ndewo ebe ahụ, pronunciation=None, extra_data=""{'translat..."")","Translated(src=zh-CN, dest=ig, text=Ndewo, kedu aha gị?, pronunciation=None, extra_data=""{'translat..."")",,,,
,no,en,Hello there,,,,,
,no,hr,Pozdrav!,Majčina mama je baka,,,,
,no,en,,"Hello there
I'm talking
Goodbye",,,,
,no,en,,Hello,,,,
,no,en,,Hello,,,,
,no,en,,,,,,
,no,en,,,,,,
,no,en,,,,,,
,no,en,,"Hello
Hello
I'm talking
bye",,,,
,no,en,,"Hello
I'm talking
bye",,,,
